기준금값(돈당),900000,기준금값(g당),240000,1g 14k기준(10%해리),154440,1g 18k기준(10%해리),198000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
공급자,공개 모델명,제품번호," 보석종류및
크기및갯수 ",14k기준 금함량, 샘플사이즈 ,"금중량 
g",기본공임,멧끼값,알값토탈,"알물림비 
총합",추가공임,"공임관련 
비고","공임합계 
(부가세전)","실제금값
(14k)","실제금값
(18k)","총합
(14k)","총합
(18k)","*1.5 버젼 
최종판매가/14k기준","*1.5 버젼 
최종판매가/18k기준"
밸리나,베젤1부,A001,모이사1부,K14,40cm,1.41,30000,5000,2300,5000,2300,기본공임아마도2.1만원,44600,216988,333828,261588,378428,392382,567642
마리오,베젤가드링,A002,"1.0×13p
1 .4×13p",K14,11호,1.8,40000,5000,55200,36000,,,136200,277992,427680,414192,563880,621288,845820
또하나,평링귀걸이,A003,,K14,,0.72,14000,,,,,,14000,111197,171072,125197,185072,187795,277608
또하나,뽀뽀 물고기목걸이,A004,,K14,,2.3,30000,,,,,,30000,355212,546480,385212,576480,577818,864720
청옥,카코무커플링,A005,,K14,,1.158,18000,5000,,,,,23000,178842,275141,201842,298141,302762,447211
